date,channel_grouping,platform,year,month,sumOfLeads,ad_id
2019-01-28,,iOS,2019,1,130144.5107,15795
2019-01-29,,Android,2019,1,447560.1023,59080
2019-01-29,,Desktop,2019,1,333222.2049,34658
2019-01-29,,Mobile Web,2019,1,235833.9154,33658
2019-01-29,,iOS,2019,1,131959.9371,15978
2019-01-30,,Android,2019,1,432184.129,57640
2019-01-30,,Desktop,2019,1,230072.8935,36514
2019-01-30,,Mobile Web,2019,1,238266.0311,33968
2019-01-30,,iOS,2019,1,126188.7091,15298
2019-01-31,,Android,2019,1,441570.0318,57884
2019-01-31,,Desktop,2019,1,208507.955,33563
2019-01-31,,Mobile Web,2019,1,235537.834,33452
2019-01-31,,iOS,2019,1,126282.4622,15386
2019-02-01,,Android,2019,2,431360.0996,55689
2019-02-01,,Desktop,2019,2,156639.97,25780
2019-02-01,,Mobile Web,2019,2,221231.5822,32112
2019-02-01,,iOS,2019,2,116053.1832,14036
2019-02-02,,Android,2019,2,426394.9108,55712
2019-02-02,,Desktop,2019,2,103087.7716,18051
2019-02-02,,Mobile Web,2019,2,214004.0769,31482
2019-02-02,,iOS,2019,2,121179.4327,14441
2019-02-03,,Android,2019,2,405205.6893,53707
2019-02-03,,Desktop,2019,2,96755.71362,17002
2019-02-03,,Mobile Web,2019,2,215795.722,31378
2019-02-03,,iOS,2019,2,115197.5607,13669
2019-02-04,,Android,2019,2,401355.1904,52708
2019-02-04,,Desktop,2019,2,139713.3722,23285
2019-02-04,,Mobile Web,2019,2,201115.1539,29383
2019-02-04,,iOS,2019,2,113782.4156,13359
2019-02-05,,Android,2019,2,376292.1224,49559
2019-02-05,,Desktop,2019,2,87221.81386,15358
2019-02-05,,Mobile Web,2019,2,198148.6922,28633
2019-02-05,,iOS,2019,2,105125.7462,12925
2019-02-06,,Android,2019,2,416499.4057,52775
2019-02-06,,Desktop,2019,2,97012.67857,16791
2019-02-06,,Mobile Web,2019,2,218041.2363,31189
2019-02-06,,iOS,2019,2,115676.9013,13735
2019-02-07,,Android,2019,2,448402.2547,56742
2019-02-07,,Desktop,2019,2,197659.73,31385
2019-02-07,,Mobile Web,2019,2,237399.1721,33441
2019-02-07,,iOS,2019,2,130787.583,15378
2019-02-08,,Android,2019,2,432152.4941,56120
2019-02-08,,Desktop,2019,2,185296.2795,29809
2019-02-08,,Mobile Web,2019,2,239863.2606,34083
2019-02-08,,iOS,2019,2,130047.3058,15344
2019-02-09,,Android,2019,2,436845.3595,57583
2019-02-09,,Desktop,2019,2,123095.353,20983
2019-02-09,,Mobile Web,2019,2,240682.775,34527
2019-02-09,,iOS,2019,2,133239.5853,15790
2019-02-10,,Android,2019,2,423530.3758,56224
2019-02-10,,Desktop,2019,2,127437.7541,21855
2019-02-10,,Mobile Web,2019,2,244012.7304,35100
2019-02-10,,iOS,2019,2,126180.6508,15248
2019-02-11,,Android,2019,2,467727.7322,61008
2019-02-11,,Desktop,2019,2,253457.5548,39175
2019-02-11,,Mobile Web,2019,2,259919.9495,36046
2019-02-11,,iOS,2019,2,141118.225,16975
2019-02-12,,Android,2019,2,431290.6528,57470
2019-02-12,,Desktop,2019,2,255736.9557,39400
2019-02-12,,Mobile Web,2019,2,255766.1722,36013
2019-02-12,,iOS,2019,2,130186.0747,15848
2019-02-13,,Android,2019,2,436745.7948,57773
2019-02-13,,Desktop,2019,2,245217.3558,38494
2019-02-13,,Mobile Web,2019,2,248445.2552,34439
2019-02-13,,iOS,2019,2,129091.349,15774
2019-02-14,,Android,2019,2,436062.3352,56930
2019-02-14,,Desktop,2019,2,251937.0064,38960
2019-02-14,,Mobile Web,2019,2,240263.3963,33578
2019-02-14,,iOS,2019,2,130450.4237,15330
2019-02-15,,Android,2019,2,414248.6659,54083
2019-02-15,,Desktop,2019,2,223104.9486,35390
2019-02-15,,Mobile Web,2019,2,236996.7771,33892
2019-02-15,,iOS,2019,2,122084.2276,14605
2019-02-16,,Android,2019,2,433229.6492,57357
2019-02-16,,Desktop,2019,2,139736.1104,23890
2019-02-16,,Mobile Web,2019,2,237829.5047,34764
2019-02-16,,iOS,2019,2,131632.65,15756
2019-02-17,,Android,2019,2,423552.0991,56103
2019-02-17,,Desktop,2019,2,135919.807,23393
2019-02-17,,Mobile Web,2019,2,252455.2546,36295
2019-02-17,,iOS,2019,2,125836.8613,15163
2019-02-18,,Android,2019,2,462719.4663,60155
2019-02-18,,Desktop,2019,2,267713.0976,41125
2019-02-18,,Mobile Web,2019,2,272088.1648,37260
2019-02-18,,iOS,2019,2,144415.6793,17368
2019-02-19,,Android,2019,2,428677.0129,56472
2019-02-19,,Desktop,2019,2,271579.6228,41535
2019-02-19,,Mobile Web,2019,2,264988.8236,36977
2019-02-19,,iOS,2019,2,133122.5573,15612
2019-02-20,,Android,2019,2,403001.5897,54030
2019-02-20,,Desktop,2019,2,260567.3381,40637
2019-02-20,,Mobile Web,2019,2,254430.1328,36026
2019-02-20,,iOS,2019,2,124958.7816,15071
2019-02-21,,Android,2019,2,411485.5473,54869
2019-02-21,,Desktop,2019,2,252289.3831,39611
2019-02-21,,Mobile Web,2019,2,248085.5077,35612
2019-02-21,,iOS,2019,2,127493.6255,15415
2019-02-22,,Android,2019,2,385926.1534,52500
2019-02-22,,Desktop,2019,2,225478.1652,36107
2019-02-22,,Mobile Web,2019,2,237138.9511,34097
2019-02-22,,iOS,2019,2,121893.434,14719
2019-02-23,,Android,2019,2,400643.5143,54199
2019-02-23,,Desktop,2019,2,140065.0498,23895
2019-02-23,,Mobile Web,2019,2,237916.4951,34936
2019-02-23,,iOS,2019,2,125322.1827,15195
2019-02-24,,Android,2019,2,393484.9195,53936
2019-02-24,,Desktop,2019,2,131190.4565,22616
2019-02-24,,Mobile Web,2019,2,256478.69,36778
2019-02-24,,iOS,2019,2,127371.4052,15231
2019-02-25,,Android,2019,2,432693.7972,58049
2019-02-25,,Desktop,2019,2,275829.6321,41495
2019-02-25,,Mobile Web,2019,2,265636.5319,37303
2019-02-25,,iOS,2019,2,134744.9093,16098
2019-02-26,,Android,2019,2,412576.57,55672
2019-02-26,,Desktop,2019,2,265295.6438,41378
2019-02-26,,Mobile Web,2019,2,263788.5473,37055
2019-02-26,,iOS,2019,2,129564.0301,15527
2019-02-27,,Android,2019,2,405661.8108,54397
2019-02-27,,Desktop,2019,2,254318.8547,40075
2019-02-27,,Mobile Web,2019,2,250429.0517,35653
2019-02-27,,iOS,2019,2,126054.7785,15398
2019-02-28,,Android,2019,2,401998.5811,54326
2019-02-28,,Desktop,2019,2,243691.2664,38576
2019-02-28,,Mobile Web,2019,2,248477.993,35049
2019-02-28,,iOS,2019,2,127690.7341,15383
2019-03-01,,Android,2019,3,404674.0326,53223
2019-03-01,,Desktop,2019,3,210500.3042,33408
2019-03-01,,Mobile Web,2019,3,247448.0735,35184
2019-03-01,,iOS,2019,3,122368.2316,14555
2019-03-02,,Android,2019,3,396665.5163,53694
2019-03-02,,Desktop,2019,3,141496.913,24237
2019-03-02,,Mobile Web,2019,3,241766.2929,35072
2019-03-02,,iOS,2019,3,126121.4956,15202
2019-03-03,,Android,2019,3,388779.6458,52988
2019-03-03,,Desktop,2019,3,125928.3507,21965
2019-03-03,,Mobile Web,2019,3,234935.9114,34644
2019-03-03,,iOS,2019,3,125958.4884,15190
2019-03-04,,Android,2019,3,410564.0659,55889
2019-03-04,,Desktop,2019,3,251572.8469,39464
2019-03-04,,Mobile Web,2019,3,250305.4345,35824
2019-03-04,,iOS,2019,3,135852.3406,16408
2019-03-05,,Android,2019,3,408391.1268,54092
2019-03-05,,Desktop,2019,3,248767.4442,39147
2019-03-05,,Mobile Web,2019,3,245057.254,34947
2019-03-05,,iOS,2019,3,129156.6829,15639
2019-03-06,,Android,2019,3,402152.2495,53678
2019-03-06,,Desktop,2019,3,250691.7619,39531
2019-03-06,,Mobile Web,2019,3,243895.605,34712
2019-03-06,,iOS,2019,3,123331.9175,14756
2019-03-07,,Android,2019,3,400886.7604,54205
2019-03-07,,Desktop,2019,3,251927.5611,39652
2019-03-07,,Mobile Web,2019,3,252710.4165,35616
2019-03-07,,iOS,2019,3,123376.6745,14816
2019-03-08,,Android,2019,3,377722.6487,51345
2019-03-08,,Desktop,2019,3,212651.4389,34594
2019-03-08,,Mobile Web,2019,3,232234.3609,33729
2019-03-08,,iOS,2019,3,122597.2521,14661
2019-03-09,,Android,2019,3,386483.9883,53479
2019-03-09,,Desktop,2019,3,134711.4919,23520
2019-03-09,,Mobile Web,2019,3,232174.3132,34501
2019-03-09,,iOS,2019,3,123748.8604,14734
2019-03-10,,Android,2019,3,378892.4754,52005
2019-03-10,,Desktop,2019,3,134663.4529,23311
2019-03-10,,Mobile Web,2019,3,245383.808,35792
2019-03-10,,iOS,2019,3,117475.2923,14275
2019-03-11,,Android,2019,3,394964.7961,53580
2019-03-11,,Desktop,2019,3,264828.4461,40898
2019-03-11,,Mobile Web,2019,3,252450.2213,36031
2019-03-11,,iOS,2019,3,129075.3949,15646
2019-03-12,,Android,2019,3,387661.1765,52144
2019-03-12,,Desktop,2019,3,257369.4471,40308
2019-03-12,,Mobile Web,2019,3,250259.9902,35688
2019-03-12,,iOS,2019,3,126896.4671,15178
2019-03-13,,Android,2019,3,370167.8416,50431
2019-03-13,,Desktop,2019,3,252589.6304,39602
2019-03-13,,Mobile Web,2019,3,242559.5517,34473
2019-03-13,,iOS,2019,3,123856.5888,14928
2019-03-14,,Android,2019,3,363685.1136,48933
2019-03-14,,Desktop,2019,3,245773.3654,38960
2019-03-14,,Mobile Web,2019,3,232618.3916,33244
2019-03-14,,iOS,2019,3,114976.8015,14046
2019-03-15,,Android,2019,3,345270.7807,48313
2019-03-15,,Desktop,2019,3,205818.9475,33619
2019-03-15,,Mobile Web,2019,3,216307.9161,31849
2019-03-15,,iOS,2019,3,107642.0052,13347
2019-03-16,,Android,2019,3,341800.3454,47956
2019-03-16,,Desktop,2019,3,137308.5543,23721
2019-03-16,,Mobile Web,2019,3,228483.0161,33611
2019-03-16,,iOS,2019,3,108848.9516,13485
2019-03-17,,Android,2019,3,358289.2008,49746
2019-03-17,,Desktop,2019,3,142408.7268,24939
2019-03-17,,Mobile Web,2019,3,236446.662,34108
2019-03-17,,iOS,2019,3,115761.9422,14164
2019-03-18,,Android,2019,3,370196.8189,50638
2019-03-18,,Desktop,2019,3,279633.9548,43014
2019-03-18,,Mobile Web,2019,3,257024.2958,36512
2019-03-18,,iOS,2019,3,119361.2742,14339
2019-03-19,,Android,2019,3,369404.5617,50398
2019-03-19,,Desktop,2019,3,278993.5713,43207
2019-03-19,,Mobile Web,2019,3,248418.3644,35249
2019-03-19,,iOS,2019,3,125229.296,15230
2019-03-20,,Android,2019,3,369075.3252,50189
2019-03-20,,Desktop,2019,3,263783.7846,41146
2019-03-20,,Mobile Web,2019,3,244770.0562,34886
2019-03-20,,iOS,2019,3,118002.5372,14335
2019-03-21,,Android,2019,3,357761.6121,49263
2019-03-21,,Desktop,2019,3,261086.8294,41626
2019-03-21,,Mobile Web,2019,3,234919.0399,34118
2019-03-21,,iOS,2019,3,114227.8625,13923
2019-03-22,,Android,2019,3,330635.9329,46625
2019-03-22,,Desktop,2019,3,215994.274,35154
2019-03-22,,Mobile Web,2019,3,219373.4459,32372
2019-03-22,,iOS,2019,3,108194.0848,13235
2019-03-23,,Android,2019,3,332941.1668,46870
2019-03-23,,Desktop,2019,3,134621.3977,23510
2019-03-23,,Mobile Web,2019,3,218469.3172,32477
2019-03-23,,iOS,2019,3,112155.1537,13632
2019-03-24,,Android,2019,3,341018.1407,47390
2019-03-24,,Desktop,2019,3,124935.1843,21818
2019-03-24,,Mobile Web,2019,3,226571.5285,33438
2019-03-24,,iOS,2019,3,111908.3435,13590
2019-03-25,,Android,2019,3,358808.0795,49339
2019-03-25,,Desktop,2019,3,254291.7444,39660
2019-03-25,,Mobile Web,2019,3,246824.8734,35674
2019-03-25,,iOS,2019,3,122105.0563,14806
2019-03-26,,Android,2019,3,364291.6782,50117
2019-03-26,,Desktop,2019,3,258496.0947,40827
2019-03-26,,Mobile Web,2019,3,244110.5766,35049
2019-03-26,,iOS,2019,3,117952.9758,14191
2019-03-27,,Android,2019,3,358794.4838,49281
2019-03-27,,Desktop,2019,3,251009.8586,39931
2019-03-27,,Mobile Web,2019,3,240781.3195,35109
2019-03-27,,iOS,2019,3,121531.3253,14606
2019-03-28,,Android,2019,3,362707.0309,49471
2019-03-28,,Desktop,2019,3,242775.5261,39015
2019-03-28,,Mobile Web,2019,3,241050.5965,34482
2019-03-28,,iOS,2019,3,120045.726,14612
2019-03-29,,Android,2019,3,359829.5292,49494
2019-03-29,,Desktop,2019,3,201685.2077,32745
2019-03-29,,Mobile Web,2019,3,230672.3169,33664
2019-03-29,,iOS,2019,3,114104.6872,13810
2019-03-30,,Android,2019,3,340117.247,47100
2019-03-30,,Desktop,2019,3,124898.2062,21641
2019-03-30,,Mobile Web,2019,3,229842.1067,33902
2019-03-30,,iOS,2019,3,111576.7485,13681
2019-03-31,,Android,2019,3,355516.3799,49110
2019-03-31,,Desktop,2019,3,125325.811,21902
2019-03-31,,Mobile Web,2019,3,241720.8107,35217
2019-03-31,,iOS,2019,3,115110.3315,13827
2019-04-01,,Android,2019,4,372805.7614,50819
2019-04-01,,Desktop,2019,4,253353.9713,39563
2019-04-01,,Mobile Web,2019,4,254565.6024,36090
2019-04-01,,iOS,2019,4,129100.1056,15441
2019-04-02,,Android,2019,4,380254.4058,52195
2019-04-02,,Desktop,2019,4,266460.1843,41547
2019-04-02,,Mobile Web,2019,4,252875.7877,35970
2019-04-02,,iOS,2019,4,125372.3634,15572
2019-04-03,,Android,2019,4,366008.3792,50150
2019-04-03,,Desktop,2019,4,249087.6824,39750
2019-04-03,,Mobile Web,2019,4,254871.5185,36180
2019-04-03,,iOS,2019,4,123354.9802,15105
2019-04-04,,Android,2019,4,362391.9964,49513
2019-04-04,,Desktop,2019,4,241771.599,38435
2019-04-04,,Mobile Web,2019,4,243641.3004,34961
2019-04-04,,iOS,2019,4,125458.564,15307
2019-04-05,,Android,2019,4,341060.3802,47568
2019-04-05,,Desktop,2019,4,217417.5339,35634
2019-04-05,,Mobile Web,2019,4,232151.5694,34032
2019-04-05,,iOS,2019,4,114033.588,13981
2019-04-06,,Android,2019,4,347191.0441,48246
2019-04-06,,Desktop,2019,4,135945.884,23807
2019-04-06,,Mobile Web,2019,4,234210.2347,34595
2019-04-06,,iOS,2019,4,115806.8369,13870
2019-04-07,,Android,2019,4,350927.9424,48758
2019-04-07,,Desktop,2019,4,137511.464,24125
2019-04-07,,Mobile Web,2019,4,238989.3363,34767
2019-04-07,,iOS,2019,4,117279.4193,14297
2019-04-08,,Android,2019,4,367089.9725,50334
2019-04-08,,Desktop,2019,4,260932.5739,39507
2019-04-08,,Mobile Web,2019,4,257566.7539,36824
2019-04-08,,iOS,2019,4,129088.9938,15389
2019-04-09,,Android,2019,4,351310.7233,48064
2019-04-09,,Desktop,2019,4,265295.4222,40881
2019-04-09,,Mobile Web,2019,4,262304.9245,37445
2019-04-09,,iOS,2019,4,121712.527,14619
2019-04-10,,Android,2019,4,343638.4234,47713
2019-04-10,,Desktop,2019,4,259992.5561,40863
2019-04-10,,Mobile Web,2019,4,252297.4921,36259
2019-04-10,,iOS,2019,4,120220.5059,14539
2019-04-11,,Android,2019,4,347106.5837,48039
2019-04-11,,Desktop,2019,4,248062.1763,39338
2019-04-11,,Mobile Web,2019,4,241908.1835,35284
2019-04-11,,iOS,2019,4,117781.4549,14448
2019-04-12,,Android,2019,4,342217.8033,47476
2019-04-12,,Desktop,2019,4,219296.109,35841
2019-04-12,,Mobile Web,2019,4,228501.4247,33636
2019-04-12,,iOS,2019,4,112998.4814,13976
2019-04-13,,Android,2019,4,320029.4829,44727
2019-04-13,,Desktop,2019,4,138880.9771,24911
2019-04-13,,Mobile Web,2019,4,228741.5126,34084
2019-04-13,,iOS,2019,4,115520.8712,13898
2019-04-14,,Android,2019,4,336460.61,47092
2019-04-14,,Desktop,2019,4,128734.7386,22683
2019-04-14,,Mobile Web,2019,4,240219.727,35093
2019-04-14,,iOS,2019,4,114353.1715,14062
2019-04-15,,Android,2019,4,345475.5992,48362
2019-04-15,,Desktop,2019,4,261272.8764,40513
2019-04-15,,Mobile Web,2019,4,259099.1075,36731
2019-04-15,,iOS,2019,4,123377.8373,15193
2019-04-16,,Android,2019,4,348762.1814,48388
2019-04-16,,Desktop,2019,4,263427.2569,41763
2019-04-16,,Mobile Web,2019,4,253495.3636,36258
2019-04-16,,iOS,2019,4,117523.3936,14549
2019-04-17,,Android,2019,4,342531.9474,48008
2019-04-17,,Desktop,2019,4,257012.468,40840
2019-04-17,,Mobile Web,2019,4,236435.1554,34441
2019-04-17,,iOS,2019,4,113854.8866,14080
2019-04-18,,Android,2019,4,337836.4845,47217
2019-04-18,,Desktop,2019,4,246626.7806,39193
2019-04-18,,Mobile Web,2019,4,237478.3676,34855
2019-04-18,,iOS,2019,4,110546.8823,13690
2019-04-19,,Android,2019,4,338381.5621,47949
2019-04-19,,Desktop,2019,4,216838.771,35165
2019-04-19,,Mobile Web,2019,4,235216.0622,34708
2019-04-19,,iOS,2019,4,109450.4607,13568
2019-04-20,,Android,2019,4,326257.8533,45746
2019-04-20,,Desktop,2019,4,135898.878,23808
2019-04-20,,Mobile Web,2019,4,234841.3149,34479
2019-04-20,,iOS,2019,4,113979.8671,13806
2019-04-21,,Android,2019,4,321204.6795,45116
2019-04-21,,Desktop,2019,4,134230.3567,23869
2019-04-21,,Mobile Web,2019,4,238876.9533,34841
2019-04-21,,iOS,2019,4,106852.8682,12934
2019-04-22,,Android,2019,4,340560.7956,47700
2019-04-22,,Desktop,2019,4,279984.9624,43511
2019-04-22,,Mobile Web,2019,4,256999.1856,36462
2019-04-22,,iOS,2019,4,125805.8382,15010
2019-04-23,,Android,2019,4,332326.8907,46903
2019-04-23,,Desktop,2019,4,260008.735,41463
2019-04-23,,Mobile Web,2019,4,242075.8782,34731
2019-04-23,,iOS,2019,4,117755.3173,14276
2019-04-24,,Android,2019,4,341233.3485,48115
2019-04-24,,Desktop,2019,4,252299.9874,40269
2019-04-24,,Mobile Web,2019,4,239100.1722,34630
2019-04-24,,iOS,2019,4,115095.5958,13942
2019-04-25,,Android,2019,4,330679.545,46645
2019-04-25,,Desktop,2019,4,243588.2417,39392
2019-04-25,,Mobile Web,2019,4,234047.3545,33913
2019-04-25,,iOS,2019,4,115830.0295,14046
2019-04-26,,Android,2019,4,324679.1539,45322
2019-04-26,,Desktop,2019,4,204245.7289,33924
2019-04-26,,Mobile Web,2019,4,224732.0892,32704
2019-04-26,,iOS,2019,4,112281.3844,14169
2019-04-27,,Android,2019,4,307937.2518,43373
2019-04-27,,Desktop,2019,4,131615.4719,23275
2019-04-27,,Mobile Web,2019,4,222866.1698,32811
2019-04-27,,iOS,2019,4,105572.0157,12962
2019-04-28,,Android,2019,4,324014.4543,45268
2019-04-28,,Desktop,2019,4,121233.2042,21408
2019-04-28,,Mobile Web,2019,4,228614.4701,33704
2019-04-28,,iOS,2019,4,108981.4334,13046
2019-04-29,,Android,2019,4,334806.7534,47100
2019-04-29,,Desktop,2019,4,242454.8372,38454
2019-04-29,,Mobile Web,2019,4,248326.0974,35479
2019-04-29,,iOS,2019,4,123648.2294,15085
2019-04-30,,Android,2019,4,330237.4215,46156
2019-04-30,,Desktop,2019,4,220258.5463,35404
2019-04-30,,Mobile Web,2019,4,233830.2585,34052
2019-04-30,,iOS,2019,4,115401.3977,14124
2019-05-01,,Android,2019,5,328926.0052,45595
2019-05-01,,Desktop,2019,5,120968.4848,21198
2019-05-01,,Mobile Web,2019,5,238485.9733,34566
2019-05-01,,iOS,2019,5,115966.6175,14142
2019-05-02,,Android,2019,5,335565.9888,46909
2019-05-02,,Desktop,2019,5,240942.2207,38115
2019-05-02,,Mobile Web,2019,5,244643.2098,35202
2019-05-02,,iOS,2019,5,121029.9111,14708
2019-05-03,,Android,2019,5,333132.8586,46270
2019-05-03,,Desktop,2019,5,203381.0999,33676
2019-05-03,,Mobile Web,2019,5,229598.0796,33667
2019-05-03,,iOS,2019,5,114130.4637,13672
2019-05-04,,Android,2019,5,319238.5621,45016
2019-05-04,,Desktop,2019,5,138025.3928,25018
2019-05-04,,Mobile Web,2019,5,226189.1409,33532
2019-05-04,,iOS,2019,5,113604.8715,13960
2019-05-05,,Android,2019,5,303817.8023,43472
2019-05-05,,Desktop,2019,5,125648.7044,22008
2019-05-05,,Mobile Web,2019,5,226214.6276,33413
2019-05-05,,iOS,2019,5,111943.6574,13509
2019-05-06,,Android,2019,5,310031.4053,44003
2019-05-06,,Desktop,2019,5,231913.4366,37120
2019-05-06,,Mobile Web,2019,5,227095.2738,32780
2019-05-06,,iOS,2019,5,114645.1365,14514
2019-05-07,,Android,2019,5,309691.4394,43609
2019-05-07,,Desktop,2019,5,240677.3259,38181
2019-05-07,,Mobile Web,2019,5,223758.3681,32151
2019-05-07,,iOS,2019,5,113728.4491,14128
2019-05-08,,Android,2019,5,308339.7797,43456
2019-05-08,,Desktop,2019,5,241543.8464,38506
2019-05-08,,Mobile Web,2019,5,221223.9711,32036
2019-05-08,,iOS,2019,5,112827.8075,13912
2019-05-09,,Android,2019,5,303616.4328,42860
2019-05-09,,Desktop,2019,5,245276.8697,39424
2019-05-09,,Mobile Web,2019,5,224286.2688,32622
2019-05-09,,iOS,2019,5,119291.1263,14245
2019-05-10,,Android,2019,5,303515.7518,42889
2019-05-10,,Desktop,2019,5,209604.02,34407
2019-05-10,,Mobile Web,2019,5,220257.8173,32230
2019-05-10,,iOS,2019,5,110038.2107,13601
2019-05-11,,Android,2019,5,309341.8073,43759
2019-05-11,,Desktop,2019,5,140667.8287,25011
2019-05-11,,Mobile Web,2019,5,229194.6227,33964
